company_fullname,tweet_text,favorite_count,created_at,hashtags,tweet_id,lang,urls,user_followers,user_screen_name,crawling_time
MINHO,"RT @correctnee: jonghyun: bro let’s get matching anchor tattoos

minho: why bro?

jonghyun: so our relationship will never float away bro…",0,Wed Mar 27 23:59:53 +0000 2019,,1111055271579840513,en,,1551,neocoture,2019-03-31|22:57
MINHO,"RT @kibumpetit: me: i hate MEN

jonghyun: :( 
taemin: :( 
kibum: :(
jinki: :(
minho: :(

me: oh no babies, NOT YOU. never you.",0,Wed Mar 27 23:59:52 +0000 2019,,1111055265930055680,en,,886,shineeaux,2019-03-31|22:57
MINHO,"RT @apollolino: only those who remember minho saying ""new york shitty"" can rt this",0,Wed Mar 27 23:59:46 +0000 2019,,1111055241980469248,en,,223,koala_junkyu99,2019-03-31|22:57
MINHO,"RT @syntaxcx: Yes Minho we all know that Jisung belongs to you no need to remind us.

 https://t.co/QEKPDAe2EP",0,Wed Mar 27 23:59:46 +0000 2019,,1111055240436944897,en,,197,Stayiiee,2019-03-31|22:57
MINHO,"RT @apollolino: only those who remember minho saying ""new york shitty"" can rt this",0,Wed Mar 27 23:59:45 +0000 2019,,1111055237853253632,en,,25,BabySeungminnie,2019-03-31|22:57
MINHO,"RT @strayactivities: minho getting scared by loud noises (2019)
 https://t.co/UKzx0k2rdf",0,Wed Mar 27 23:59:41 +0000 2019,,1111055219784323072,en,,183,sweetharst,2019-03-31|22:57
MINHO,QUEM FOI??????? PUTZ EU AMO O MINHO DEMAIS MWIEOFKCHEMDKWCIEKF https://t.co/PGSYaaXXct,2,Wed Mar 27 23:59:40 +0000 2019,,1111055217825595394,pt,https://twitter.com/correios_anon/status/1110957406945718272,174,hanjishyung,2019-03-31|22:57
MINHO,"RT @kstarlivecom: 10 Male Idols Who Have Just Natural Sex Appeal... Effortlessly
✅ Follow @kstarlivecom

#JB #Taeyong #Kai #Minho #GOT7 #NC…",0,Wed Mar 27 23:59:37 +0000 2019,"JB,Taeyong,Kai,Minho,GOT7",1111055202063470592,en,,504,sehumilk,2019-03-31|22:57
MINHO,RT @hyunhobot: the way hyunjin n minho’s reactions from jisung’s prank are polar opposites pls this is so FUNNYSHSb https://t.co/pV2JRsk845,0,Wed Mar 27 23:59:35 +0000 2019,,1111055196459692032,en,,627,leiiera,2019-03-31|22:57
MINHO,"RT @STAY_mutuals: Gain STAY Mutuals!☁🌻
※ rt and follow everyone who rts ※

rt if you stan:
― Bang Chan
― Kim Woojin
― Lee Minho
― Seo Chang…",0,Wed Mar 27 23:59:34 +0000 2019,,1111055191233581056,en,,438,kkuraparkwhore,2019-03-31|22:57
